@relation poker_hand/training/cardnumeric/all

@attribute S1 {H, S, D, C}
@attribute C1 numeric
@attribute S2 {H, S, D, C}
@attribute C2 numeric
@attribute S3 {H, S, D, C}
@attribute C3 numeric
@attribute S4 {H, S, D, C}
@attribute C4 numeric
@attribute S5 {H, S, D, C}
@attribute C5 numeric
@attribute SameS {FALSE,TRUE}
@attribute CLASS {0, 1, 2, 3, S, F, FH, 4, SF, RF}


@data
H,1,H,10,H,11,H,12,H,13,TRUE,RF
S,1,S,10,S,11,S,12,S,13,TRUE,RF
D,1,D,10,D,11,D,12,D,13,TRUE,RF
C,1,C,10,C,11,C,12,C,13,TRUE,RF
C,1,C,10,C,11,C,12,C,13,TRUE,RF
H,2,H,3,H,4,H,5,H,6,TRUE,SF
H,9,H,10,H,11,H,12,H,13,TRUE,SF
S,1,S,2,S,3,S,4,S,5,TRUE,SF
D,5,D,6,D,7,D,8,D,9,TRUE,SF
C,1,C,2,C,3,C,4,C,5,TRUE,SF
H,1,S,1,S,3,H,5,D,9,FALSE,1
S,1,S,4,S,6,C,9,C,13,FALSE,0
H,1,H,2,C,6,D,8,H,10,FALSE,0
S,1,C,4,H,5,S,11,S,13,FALSE,0
C,2,D,2,D,8,D,9,C,12,FALSE,1
H,3,S,4,H,5,C,7,C,13,FALSE,0
H,1,D,2,H,3,H,4,D,5,FALSE,S
H,2,S,6,S,7,D,8,D,12,FALSE,0
D,2,C,6,C,8,H,11,C,12,FALSE,0
D,1,D,7,S,7,C,11,H,12,FALSE,1
S,7,C,8,S,10,H,13,D,13,FALSE,1
H,4,S,6,D,7,S,8,H,11,FALSE,0
H,2,C,5,D,8,D,10,S,10,FALSE,1
S,1,C,1,C,6,H,9,D,13,FALSE,1
D,2,S,8,H,8,S,10,S,13,FALSE,1
D,3,H,5,C,5,C,8,S,13,FALSE,1
D,1,H,1,H,5,S,7,D,13,FALSE,1
H,5,H,6,S,6,H,7,C,8,FALSE,1
C,4,S,5,D,7,D,9,S,12,FALSE,0
H,1,C,6,S,8,S,10,H,12,FALSE,0
S,7,C,11,D,11,S,11,D,13,FALSE,3
C,2,S,7,D,10,S,11,D,13,FALSE,0
H,1,C,2,H,6,S,7,H,11,FALSE,0
C,3,D,4,D,5,H,9,S,12,FALSE,0
D,2,C,3,H,6,S,10,S,11,FALSE,0
H,1,C,3,C,8,C,12,C,13,FALSE,0
S,2,H,2,C,3,S,6,C,8,FALSE,1
H,3,S,3,H,6,D,8,C,13,FALSE,1
C,3,C,7,S,9,S,10,C,11,FALSE,0
H,2,S,2,S,10,D,12,S,13,FALSE,1
H,2,S,3,D,3,S,5,S,12,FALSE,1
D,2,S,5,S,8,C,8,H,12,FALSE,1
S,1,C,5,H,5,C,6,C,7,FALSE,1
S,1,H,3,S,6,D,7,D,13,FALSE,0
D,5,S,8,C,10,H,10,C,13,FALSE,1
H,2,D,5,H,7,D,9,H,11,FALSE,0
D,1,S,2,C,4,S,6,S,11,FALSE,0
C,1,C,4,H,9,H,10,C,12,FALSE,0
S,1,C,9,D,9,C,12,D,13,FALSE,1
C,1,D,1,H,3,C,4,S,11,FALSE,1
C,4,H,5,D,7,C,10,S,13,FALSE,0
H,3,D,6,D,7,D,8,H,10,FALSE,0
S,1,C,2,D,4,C,7,D,9,FALSE,0
S,3,S,4,C,8,H,9,H,11,FALSE,0
S,1,S,3,D,4,S,7,C,13,FALSE,0
C,1,S,3,S,5,C,7,C,12,FALSE,0
S,5,D,7,D,12,D,13,H,13,FALSE,1
D,2,C,8,S,8,S,9,D,11,FALSE,1
D,2,S,6,H,8,S,9,H,12,FALSE,0
H,5,C,5,S,7,D,13,S,13,FALSE,2
D,1,D,3,S,5,C,7,C,10,FALSE,0
S,2,D,3,C,10,D,13,S,13,FALSE,1
H,3,H,5,H,6,D,7,S,8,FALSE,0
H,2,C,3,S,8,C,11,C,13,FALSE,0
S,1,C,1,H,4,D,7,C,11,FALSE,1
C,1,S,3,H,4,C,12,C,13,FALSE,0
C,1,D,2,C,4,C,7,H,9,FALSE,0
D,1,C,3,H,5,H,6,S,10,FALSE,0
C,2,D,3,S,6,S,9,D,9,FALSE,1
D,1,H,5,D,5,C,8,D,10,FALSE,1
C,5,H,5,C,7,D,8,S,9,FALSE,1
C,1,C,4,D,5,H,11,C,13,FALSE,0
H,1,C,6,D,8,C,13,H,13,FALSE,1
C,1,C,2,C,4,C,7,C,8,TRUE,F
S,3,C,3,D,5,C,10,D,13,FALSE,1
D,1,C,1,H,4,C,4,S,13,FALSE,2
D,2,S,6,C,10,D,10,H,12,FALSE,1
C,8,D,8,D,9,S,11,H,11,FALSE,2
S,4,H,4,S,5,H,8,H,13,FALSE,1
H,2,H,4,C,4,H,9,S,13,FALSE,1
C,2,D,7,C,8,D,10,H,12,FALSE,0
